Designator,Mid X,Mid Y,Layer,Rotation
AUDIO_JACK,88.12, 7.26,Top,270.0
BATTERIE, 4.45,81.60,Top,270.0
BATTERYCHARGER,15.88,80.33,Top,270.0
BOOT,68.92,82.80,Top,180.0
C1,91.24,65.05,Top,180.0
C2,77.47,78.74,Top,0.0
C4,27.94,23.56,Top,0.0
C6,59.05,76.52,Top,180.0
C7,12.07,71.76,Top,270.0
C8,49.66,68.96,Top,0.0
C9,49.66,62.61,Top,0.0
C10,53.15,78.80,Top,180.0
C11,53.15,72.45,Top,180.0
C12,19.05,40.01,Top,270.0
C13,72.39,72.07,Top,0.0
C14,69.22,63.18,Top,270.0
C15,38.42,63.50,Top,180.0
C16,27.94,57.79,Top,90.0
C17,27.94,62.87,Top,270.0
C18,26.35,75.56,Top,0.0
C19,26.35,70.80,Top,180.0
C26,59.05,74.30,Top,180.0
D2,20.96,40.64,Top,90.0
D3,22.86,43.18,Top,90.0
D4,22.86,45.40,Top,90.0
D8,21.99,29.21,Top,0.0
D9,20.00,26.35,Top,0.0
DC-MOTOR, 4.76,29.85,Top,270.0
DCDC,31.43,61.91,Top,180.0
DISPLAY,17.32,68.84,Top,90.0
H-BRUECKE,15.95,17.46,Top,180.0
IC2,33.34,73.03,Top,270.0
L1,33.02,57.79,Top,90.0
LED1,15.56,87.31,Top,270.0
LED2,11.75,84.77,Top,270.0
LED_LEFT,55.88,42.23,Top,0.0
LED_MIDDLE,64.77,42.23,Top,0.0
LED_RIGHT,73.66,42.23,Top,0.0
LEFT,48.90,28.89,Top,180.0
OPV,72.07, 7.94,Top,0.0
POWER_LED,73.03,87.31,Top,270.0
Q1,54.42,75.63,Top,90.0
Q2,15.56,84.77,Top,90.0
Q3, 7.62,60.64,Top,90.0
R1,76.84,87.31,Top,0.0
R2,81.60,78.74,Top,180.0
R3,66.99,78.74,Top,0.0
R4,71.12,78.74,Top,0.0
R5,68.90,87.31,Top,180.0
R6,18.73,80.01,Top,270.0
R7,10.48,80.01,Top,90.0
R8,12.70,80.01,Top,90.0
R9, 7.62,67.63,Top,270.0
R10, 9.84,67.63,Top,90.0
R11,10.79,60.64,Top,270.0
R12,50.61,65.78,Top,90.0
R13,21.91,47.94,Top,0.0
R15,38.42,60.33,Top,180.0
R16,30.16,65.72,Top,90.0
R17,40.76,77.35,Top,90.0
R18,73.34, 2.22,Top,180.0
R19,20.96,80.01,Top,270.0
R20, 9.84,71.76,Top,90.0
R21, 7.62,71.76,Top,270.0
R25,20.00,45.72,Top,180.0
R26,20.00,43.50,Top,180.0
R27,78.42, 1.91,Top,0.0
R29,12.07,67.63,Top,270.0
R30,55.69,37.78,Top,180.0
R31,73.47,37.78,Top,180.0
R32,64.57,37.78,Top,180.0
R33,48.05,36.02,Top,180.0
R35,72.59,35.42,Top,0.0
R36,50.05,38.27,Top,0.0
R37,52.20,75.63,Top,90.0
RED_LED,65.09,87.31,Top,270.0
RESET,79.38,82.87,Top,0.0
RIGHT,64.77,28.89,Top,180.0
SCHOTTKY,34.93,61.91,Top,270.0
SCHOTTKY1, 9.72,57.79,Top,0.0
SELECT,80.65,28.89,Top,180.0
STM32,64.82,69.13,Top,0.0
ST_LINK,96.68,68.84,Top,270.0
TRIMMER,79.38, 7.94,Top,0.0
USB-B,11.88,42.23,Top,270.0
Y1,53.79,65.78,Top,90.0
